week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
6/2/24,TV (Non-English),9,Garouden: The Way of the Lone Wolf,Garouden: The Way of the Lone Wolf: Season 1,4100000,3.45,1200000,2,FALSE,
6/2/24,TV (Non-English),10,Queen of Tears,Queen of Tears: Limited Series,24600000,23.3667,1100000,13,FALSE,
5/26/24,Films (English),1,Atlas,N/A,56300000,2,28200000,1,FALSE,
5/26/24,Films (English),2,Thelma the Unicorn,N/A,17400000,1.6333,10700000,2,FALSE,
5/26/24,Films (English),3,Ice Age: Dawn of the Dinosaurs,N/A,15100000,1.5833,9500000,1,FALSE,
5/26/24,Films (English),4,Mother of the Bride,N/A,14000000,1.5,9300000,3,FALSE,
5/26/24,Films (English),5,Disturbia,N/A,14100000,1.75,8100000,2,FALSE,
5/26/24,Films (English),6,Sing 2,N/A,13900000,1.8333,7600000,10,FALSE,
5/26/24,Films (English),7,Ice Age: Collision Course,N/A,11700000,1.6167,7200000,1,FALSE,
5/26/24,Films (English),8,A Simple Favor,N/A,12200000,1.95,6300000,1,FALSE,
5/26/24,Films (English),9,Madame Web,N/A,11900000,1.9333,6200000,2,FALSE,
5/26/24,Films (English),10,Security,N/A,5100000,1.5333,3300000,3,FALSE,
5/26/24,Films (Non-English),1,Golden Kamuy,N/A,15800000,2.15,7300000,1,FALSE,
5/26/24,Films (Non-English),2,In Good Hands 2,N/A,10500000,1.6667,6300000,1,FALSE,
5/26/24,Films (Non-English),3,Crew,N/A,10800000,2.0167,5400000,1,FALSE,
5/26/24,Films (Non-English),4,The Courier,N/A,5100000,1.7,3000000,3,FALSE,
5/26/24,Films (Non-English),5,Monster,N/A,3800000,1.4167,2700000,2,FALSE,
5/26/24,Films (Non-English),6,Laapataa Ladies,N/A,4000000,2.0667,1900000,5,FALSE,
5/26/24,Films (Non-English),7,Shaitaan,N/A,3900000,2.1333,1800000,4,FALSE,
5/26/24,Films (Non-English),8,In Good Hands,N/A,2900000,1.7667,1600000,6,FALSE,
5/26/24,Films (Non-English),9,4 Kings 2,N/A,3200000,2.2167,1400000,1,FALSE,
5/26/24,Films (Non-English),10,The Tearsmith,N/A,2400000,1.75,1400000,8,FALSE,
5/26/24,TV (English),1,Bridgerton,Bridgerton: Season 3,92800000,3.6667,25300000,2,FALSE,
5/26/24,TV (English),2,Bridgerton,Bridgerton: Season 1,52700000,8.2,6400000,11,FALSE,
